distributor_id,distributor_name,region,category,contact_person,phone,email,address,credit_limit,outstanding,status,onboard_date,last_order_date
DIST_001,ABC Distributors 1,Central,Automotive,Contact Person 1,+91-9876529420,contact1@distributor.com,"Address Line 1, City-495210",585654,492926,Suspended,2024-09-25,2025-09-30
DIST_002,ABC Distributors 2,North,Pharma,Contact Person 2,+91-9876567246,contact2@distributor.com,"Address Line 2, City-840911",202100,25699,Suspended,2024-02-24,2025-09-15
DIST_003,ABC Distributors 3,East,FMCG,Contact Person 3,+91-9876518554,contact3@distributor.com,"Address Line 3, City-210398",453375,462916,Active,2024-11-02,2025-09-20
DIST_004,ABC Distributors 4,West,Electronics,Contact Person 4,+91-9876522333,contact4@distributor.com,"Address Line 4, City-734764",743359,405250,Inactive,2024-11-11,2025-09-05
DIST_005,ABC Distributors 5,East,Electronics,Contact Person 5,+91-9876563848,contact5@distributor.com,"Address Line 5, City-530833",664452,309660,Suspended,2024-08-27,2025-09-17
DIST_006,ABC Distributors 6,East,Electronics,Contact Person 6,+91-9876592800,contact6@distributor.com,"Address Line 6, City-745799",949864,328338,Suspended,2025-02-05,2025-09-04
DIST_007,ABC Distributors 7,West,FMCG,Contact Person 7,+91-9876522937,contact7@distributor.com,"Address Line 7, City-248442",707167,207803,Inactive,2023-11-10,2025-09-19
DIST_008,ABC Distributors 8,East,Electronics,Contact Person 8,+91-9876548924,contact8@distributor.com,"Address Line 8, City-752661",412300,398115,Active,2025-02-11,2025-09-03
DIST_009,ABC Distributors 9,North,Electronics,Contact Person 9,+91-9876558856,contact9@distributor.com,"Address Line 9, City-298781",450087,495015,Suspended,2024-02-16,2025-09-28
DIST_010,ABC Distributors 10,North,FMCG,Contact Person 10,+91-9876573705,contact10@distributor.com,"Address Line 10, City-379912",629406,229367,Inactive,2024-05-02,2025-09-19
DIST_011,ABC Distributors 11,Central,Textiles,Contact Person 11,+91-9876541918,contact11@distributor.com,"Address Line 11, City-631694",695564,120863,Inactive,2025-07-28,2025-09-23
DIST_012,ABC Distributors 12,East,Pharma,Contact Person 12,+91-9876578581,contact12@distributor.com,"Address Line 12, City-589377",638780,270995,Inactive,2025-01-24,2025-09-26
DIST_013,ABC Distributors 13,South,Electronics,Contact Person 13,+91-9876561845,contact13@distributor.com,"Address Line 13, City-371814",742278,152459,Active,2024-06-05,2025-09-26
DIST_014,ABC Distributors 14,South,Electronics,Contact Person 14,+91-9876531223,contact14@distributor.com,"Address Line 14, City-731776",610454,215425,Suspended,2023-12-15,2025-09-22
DIST_015,ABC Distributors 15,South,Pharma,Contact Person 15,+91-9876583914,contact15@distributor.com,"Address Line 15, City-162953",280610,89353,Active,2024-09-08,2025-09-28
DIST_016,ABC Distributors 16,West,Automotive,Contact Person 16,+91-9876541851,contact16@distributor.com,"Address Line 16, City-416020",920489,18392,Suspended,2025-01-03,2025-09-24
DIST_017,ABC Distributors 17,Central,Pharma,Contact Person 17,+91-9876587385,contact17@distributor.com,"Address Line 17, City-464878",277565,415908,Suspended,2025-06-30,2025-10-02
DIST_018,ABC Distributors 18,North,Automotive,Contact Person 18,+91-9876594359,contact18@distributor.com,"Address Line 18, City-199759",901340,487412,Suspended,2024-07-28,2025-09-29
DIST_019,ABC Distributors 19,Central,Automotive,Contact Person 19,+91-9876532662,contact19@distributor.com,"Address Line 19, City-942664",424185,257432,Inactive,2023-12-16,2025-09-13
